country,year,gdp_per_capita ($),Total_Population,suicides_no,suicides/100k_pop
Albania,1987,796,2709600,73,2.69
Albania,1988,769,2764300,63,2.28
Albania,1989,833,2803100,68,2.43
Albania,1992,251,2822500,47,1.67
Albania,1993,437,2807300,73,2.6
Albania,1994,697,2849300,50,1.75
Albania,1995,835,2903400,88,3.03
Albania,1996,1127,2940200,89,3.03
Albania,1997,793,2977300,170,5.71
Albania,1998,899,3012700,154,5.11
Albania,1999,1127,3029700,139,4.59
Albania,2000,1299,2796300,54,1.93
Albania,2001,1451,2799349,119,4.25
Albania,2002,1573,2818839,133,4.72
Albania,2003,2021,2843929,124,4.36
Albania,2004,2544,2874991,146,5.08
Albania,2005,2931,2783320,0,0.0
Albania,2006,3235,2780176,0,0.0
Albania,2007,3863,2770344,124,4.48
Albania,2008,4672,2757059,160,5.8
Albania,2009,4387,2745735,0,0.0
Albania,2010,4359,2736025,96,3.51
Antigua and Barbuda,1985,3850,62574,0,0.0
Antigua and Barbuda,1986,4740,61270,0,0.0
Antigua and Barbuda,1987,5595,60261,0,0.0
Antigua and Barbuda,1988,6693,59564,0,0.0
Antigua and Barbuda,1989,7407,59238,0,0.0
Antigua and Barbuda,1990,7744,59334,1,1.69
Antigua and Barbuda,1991,7976,60394,0,0.0
Antigua and Barbuda,1992,8087,61741,0,0.0
Antigua and Barbuda,1993,8453,63315,1,1.58
Antigua and Barbuda,1994,9062,65044,0,0.0
Antigua and Barbuda,1995,8636,66846,0,0.0
Antigua and Barbuda,1998,10078,72225,0,0.0
Antigua and Barbuda,1999,10378,73832,0,0.0
Antigua and Barbuda,2000,11021,75326,2,2.66
Antigua and Barbuda,2001,10468,76497,2,2.61
Antigua and Barbuda,2002,10499,77588,0,0.0
Antigua and Barbuda,2003,10878,78658,1,1.27
Antigua and Barbuda,2004,11535,79722,2,2.51
Antigua and Barbuda,2005,12649,80809,0,0.0
Antigua and Barbuda,2006,14114,81973,0,0.0
Antigua and Barbuda,2007,15775,83131,1,1.2
Antigua and Barbuda,2008,16238,84273,0,0.0
Antigua and Barbuda,2009,14335,85405,0,0.0
Antigua and Barbuda,2012,13657,88703,0,0.0
Antigua and Barbuda,2013,13287,89779,0,0.0
Antigua and Barbuda,2014,14093,90837,0,0.0
Antigua and Barbuda,2015,14853,91889,1,1.09
Argentina,1985,3264,27090800,1988,7.34
Argentina,1986,4072,27244400,2284,8.38
Argentina,1987,4026,27599400,2286,8.28
Argentina,1988,4458,28308000,2354,8.32
Argentina,1989,2670,28702000,2247,7.83
Argentina,1990,4859,29091100,2140,7.36
Argentina,1991,6404,29623000,1951,6.59
Argentina,1992,7615,30045400,2184,7.27
Argentina,1993,7768,30477500,2230,7.32
Argentina,1994,8328,30911200,2241,7.25
Argentina,1995,8232,31345400,2204,7.03
Argentina,1996,8563,31780700,2229,7.01
Argentina,1997,9057,32333781,2184,6.75
Argentina,1998,9126,32757259,2347,7.16
Argentina,1999,8546,33174862,2423,7.3
Argentina,2000,8462,33585533,2774,8.26
Argentina,2001,7900,34010946,3132,9.21
Argentina,2002,2840,34407507,3162,9.19
Argentina,2003,3668,34785907,3289,9.45
Argentina,2004,4683,35162945,3121,8.88
Argentina,2005,5590,35550617,3058,8.6
Argentina,2006,6475,35918886,3108,8.65
Argentina,2007,7918,36315492,2946,8.11
Argentina,2008,9843,36733520,3059,8.33
Argentina,2009,8961,37158001,2884,7.76
Argentina,2010,11273,37578454,2943,7.83
Argentina,2011,13946,38015739,2912,7.66
Argentina,2012,14203,38441778,3248,8.45
Argentina,2013,14206,38859125,2987,7.69
Argentina,2014,13400,39276555,3231,8.23
Argentina,2015,14981,39699624,3073,7.74
Armenia,1990,756,2983700,93,3.12
Armenia,1991,640,3230800,80,2.48
Armenia,1992,385,3308700,83,2.51
Armenia,1993,357,3366600,106,3.15
Armenia,1994,387,3402500,112,3.29
Armenia,1995,426,3443200,130,3.78
Armenia,1996,458,3486300,87,2.5
Armenia,1997,465,3526700,77,2.18
Armenia,1998,532,3558000,66,1.85
Armenia,1999,515,3580700,67,1.87
Armenia,2000,530,3606500,61,1.69
Armenia,2001,587,3610516,60,1.66
Armenia,2002,788,3014844,74,2.45
Armenia,2003,928,3024366,59,1.95
Armenia,2006,2310,2764396,78,2.82
Armenia,2007,3366,2735313,71,2.6
Armenia,2008,3829,3045391,63,2.07
Armenia,2009,3215,2689695,53,1.97
Armenia,2010,3460,2676225,73,2.73
Armenia,2011,3798,2670366,67,2.51
Armenia,2012,3773,2814300,79,2.81
Armenia,2013,3957,2810664,67,2.38
Armenia,2014,4142,2803029,58,2.07
Armenia,2015,3775,2795335,74,2.65
Armenia,2016,3788,2400033,67,2.79
Aruba,1995,17949,73581,8,10.87
Aruba,1999,21027,81934,9,10.98
Aruba,2000,22333,83888,10,11.92
Aruba,2001,22317,86045,4,4.65
Aruba,2002,21987,88284,9,10.19
Aruba,2003,22345,90457,2,2.21
Aruba,2004,24133,92335,8,8.66
Aruba,2005,24870,93728,10,10.67
Aruba,2006,25622,94508,9,9.52
Aruba,2007,27672,94814,8,8.44
Aruba,2008,29447,94814,4,4.22
Aruba,2009,26361,94795,4,4.22
Aruba,2010,25974,95006,7,7.37
Aruba,2011,27066,95488,9,9.43
Australia,1985,12374,14562500,1861,12.78
Australia,1986,12288,14809800,2044,13.8
Australia,1987,12564,15046500,2164,14.38
Australia,1988,15393,15312100,2172,14.18
Australia,1989,19223,15570600,2066,13.27
Australia,1990,19665,15807000,2202,13.93
Australia,1991,20320,16012100,2288,14.29
Australia,1992,20050,16203500,2251,13.89
Australia,1993,19030,16370000,2038,12.45
Australia,1994,19469,16549400,2283,13.8
Australia,1995,21902,16766300,2170,12.94
Australia,1996,23526,17015100,2426,14.26
Australia,1997,25234,17221300,2646,15.36
Australia,1998,22897,17421730,2632,15.11
Australia,1999,22016,17641702,2488,14.1
